year,minNests,Pairs,renests,minPairs,minHatch,minChicks
2005,1,1,,1,0,0
2006,6,6,,6,6,5
2007,7,7,,7,10,10
2008,10,11,,11,25,18
2009,22,22,,22,5,5
2010,10,10,,10,9,6
2011,8,8,,8,31,29
2012,12,12,,12,38,33
2013,10,10,,10,26,16
2014,6,6,,6,24,23
2015,9,9,2,7,11,10
2016,8,8,,8,16,13
2017,8,8,1,7,3,3
2018,9,9,,9,8,3
2019,5,5,,5,0,0
2020,0,NA,,NA,0,0
2021,9,9,2,7,0,0
2022,8,8,,8,0,0
