year,minNests,Pairs,renests,minPairs,minHatch,minChicks
2005,3,5,,5,7,7
2006,11,11,,11,40,37
2007,16,16,,16,42,24
2008,16,19,,19,47,33
2009,30,38,,38,43,22
2010,22,27,,27,47,40
2011,23,23,,23,83,52
2012,24,25,,25,74,61
2013,43,46,,46,99,81
2014,31,31,1,30,72,48
2015,26,26,,26,76,61
2016,23,23,,23,55,40
2017,20,21,,21,0,0
2018,24,25,,25,18,16
2019,12,12,,12,21,11
2020,2,NA,,NA,7,0
2021,9,10,,10,14,14
2022,4,4,,4,0,0
